Cities,Impersonation,Fondling,Pornography/Obscene Material,All Other Larceny,Theft of Motor Vehicle Parts or Accessories,Theft From Motor Vehicle,Simple Assault,Burglary/Breaking & Entering,Destruction/Damage/Vandalism of Property,Intimidation,Wire Fraud,Aggravated Assault,Drug/Narcotic Violations,Shoplifting,Weapon Law Violations,Motor Vehicle Theft,False Pretenses/Swindle/Confidence Game,Credit Card/Automated Teller Machine Fraud,Stolen Property Offenses,Statutory Rape,Theft From Building,Sodomy,Embezzlement,Counterfeiting/Forgery,Robbery,Drug Equipment Violations,Identity Theft,Rape,Kidnapping/Abduction,Sexual Assault With An Object,Murder and Nonnegligent Manslaughter,Animal Cruelty,Arson,Purchasing Prostitution,Extortion/Blackmail,Pocket-picking,Purse-snatching,Hacking/Computer Invasion,"Human Trafficking, Commercial Sex Acts",Assisting or Promoting Prostitution,Incest,Prostitution,Bribery,"Human Trafficking, Involuntary Servitude",Operating/Promoting/Assisting Gambling,Welfare Fraud,Negligent Manslaughter,Theft From Coin-Operated Machine or Device,Gambling Equipment Violation,Betting/Wagering,Total
ROWLEY,1.0,3.0,3.0,14.0,0.0,0.0,9.0,6.0,5.0,3.0,0.0,7.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
SALEM,3.0,12.0,1.0,343.0,12.0,107.0,397.0,98.0,361.0,182.0,10.0,49.0,115.0,166.0,20.0,40.0,109.0,55.0,12.0,0.0,75.0,0.0,0.0,15.0,22.0,8.0,47.0,5.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2275.0
SALISBURY,14.0,0.0,1.0,34.0,0.0,16.0,73.0,16.0,50.0,18.0,0.0,16.0,29.0,0.0,5.0,20.0,22.0,4.0,6.0,4.0,13.0,1.0,2.0,13.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0
SAUGUS,49.0,1.0,0.0,176.0,5.0,56.0,76.0,35.0,141.0,20.0,0.0,49.0,22.0,76.0,8.0,31.0,52.0,23.0,8.0,1.0,17.0,0.0,5.0,11.0,9.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,889.0
WENHAM,1.0,0.0,0.0,7.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
WEST NEWBURY,8.0,0.0,1.0,10.0,0.0,0.0,9.0,3.0,12.0,3.0,0.0,2.0,7.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0
BERNARDSTON,11.0,0.0,0.0,7.0,0.0,2.0,3.0,7.0,9.0,7.0,0.0,3.0,5.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0
DEERFIELD,7.0,0.0,1.0,29.0,0.0,4.0,26.0,12.0,15.0,5.0,0.0,3.0,11.0,5.0,4.0,6.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0
ERVING,8.0,0.0,2.0,7.0,0.0,4.0,11.0,8.0,17.0,7.0,0.0,4.0,29.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0
GILL,1.0,0.0,0.0,9.0,0.0,0.0,7.0,3.0,7.0,3.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
GREENFIELD,10.0,3.0,1.0,175.0,0.0,45.0,114.0,55.0,99.0,20.0,0.0,63.0,58.0,36.0,9.0,14.0,35.0,8.0,5.0,7.0,44.0,5.0,1.0,16.0,10.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867.0
MONTAGUE,2.0,0.0,1.0,44.0,0.0,2.0,41.0,23.0,55.0,7.0,0.0,44.0,9.0,12.0,3.0,2.0,10.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0
NORTHFIELD,2.0,0.0,0.0,7.0,0.0,3.0,7.0,5.0,6.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
SHELBURNE,2.0,0.0,0.0,8.0,0.0,1.0,9.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
SUNDERLAND,1.0,0.0,1.0,12.0,0.0,8.0,3.0,5.0,7.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
WHATELY,2.0,0.0,0.0,3.0,0.0,1.0,4.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
AGAWAM,55.0,1.0,7.0,223.0,2.0,9.0,193.0,145.0,148.0,44.0,0.0,74.0,32.0,18.0,6.0,19.0,59.0,13.0,11.0,6.0,30.0,1.0,1.0,14.0,12.0,0.0,1.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1148.0
CHICOPEE,96.0,24.0,14.0,255.0,64.0,186.0,616.0,299.0,431.0,245.0,0.0,130.0,79.0,142.0,41.0,91.0,160.0,12.0,23.0,11.0,84.0,5.0,7.0,29.0,52.0,0.0,0.0,27.0,15.0,0.0,0.0,1.0,1.0,0.0,3.0,10.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3166.0
EAST LONGMEADOW,7.0,1.0,4.0,113.0,1.0,48.0,66.0,40.0,63.0,25.0,0.0,18.0,17.0,61.0,9.0,10.0,31.0,7.0,1.0,5.0,13.0,0.0,5.0,7.0,6.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0
HAMPDEN,3.0,0.0,0.0,11.0,0.0,8.0,8.0,2.0,12.0,2.0,0.0,3.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0
LONGMEADOW,19.0,1.0,0.0,70.0,0.0,41.0,11.0,33.0,38.0,7.0,0.0,8.0,7.0,12.0,1.0,7.0,23.0,2.0,3.0,0.0,33.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0
LUDLOW,24.0,1.0,1.0,101.0,1.0,20.0,77.0,47.0,114.0,26.0,0.0,38.0,39.0,48.0,9.0,12.0,44.0,9.0,7.0,2.0,19.0,0.0,0.0,11.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,660.0
MONSON,6.0,2.0,1.0,11.0,0.0,1.0,31.0,28.0,39.0,12.0,0.0,14.0,37.0,1.0,9.0,4.0,14.0,3.0,4.0,3.0,7.0,0.0,0.0,6.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0
